kind	class	method	param	index	uri	reason	annotation	rootClass	rootMethod
METHOD	com.badlogic.gdx.maps.tiled.TiledMapTileSets	getTileSet(java.lang.String)	null	null	/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/maps/tiled/TiledMapTileSets.java	RETURN_NULLABLE	nullable	com.badlogic.gdx.maps.tiled.TiledMapTileSets	getTileSet(java.lang.String)
METHOD	com.badlogic.gdx.utils.Array	random()	null	null	/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/utils/Array.java	RETURN_NULLABLE	nullable	com.badlogic.gdx.utils.Array	random()
FIELD	com.badlogic.gdx.utils.Array$ArrayIterable	null	iterator1	null	/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/utils/Array.java	METHOD_NO_INIT	nullable	com.badlogic.gdx.utils.Array$ArrayIterable	null
FIELD	com.badlogic.gdx.utils.Array$ArrayIterable	null	iterator2	null	/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/utils/Array.java	METHOD_NO_INIT	nullable	com.badlogic.gdx.utils.Array$ArrayIterable	null
FIELD	com.badlogic.gdx.utils.Predicate$PredicateIterator	null	iterator	null	/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/utils/Predicate.java	METHOD_NO_INIT	nullable	com.badlogic.gdx.utils.Predicate$PredicateIterator	null
FIELD	com.badlogic.gdx.utils.Predicate$PredicateIterator	null	predicate	null	/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/utils/Predicate.java	METHOD_NO_INIT	nullable	com.badlogic.gdx.utils.Predicate$PredicateIterator	null
FIELD	com.badlogic.gdx.utils.Predicate$PredicateIterable	null	iterable	null	/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/utils/Predicate.java	METHOD_NO_INIT	nullable	com.badlogic.gdx.utils.Predicate$PredicateIterable	null
FIELD	com.badlogic.gdx.utils.Predicate$PredicateIterable	null	predicate	null	/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/utils/Predicate.java	METHOD_NO_INIT	nullable	com.badlogic.gdx.utils.Predicate$PredicateIterable	null
FIELD	com.badlogic.gdx.utils.ObjectSet	null	iterator1	null	/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/utils/ObjectSet.java	METHOD_NO_INIT	nullable	com.badlogic.gdx.utils.ObjectSet	null
FIELD	com.badlogic.gdx.utils.ObjectSet	null	iterator2	null	/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/utils/ObjectSet.java	METHOD_NO_INIT	nullable	com.badlogic.gdx.utils.ObjectSet	null
FIELD	com.badlogic.gdx.utils.IntMap	null	zeroValue	null	/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/utils/IntMap.java	METHOD_NO_INIT	nullable	com.badlogic.gdx.utils.IntMap	null
FIELD	com.badlogic.gdx.utils.IntMap	null	entries1	null	/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/utils/IntMap.java	METHOD_NO_INIT	nullable	com.badlogic.gdx.utils.IntMap	null
FIELD	com.badlogic.gdx.utils.IntMap	null	entries2	null	/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/utils/IntMap.java	METHOD_NO_INIT	nullable	com.badlogic.gdx.utils.IntMap	null
FIELD	com.badlogic.gdx.utils.IntMap	null	values1	null	/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/utils/IntMap.java	METHOD_NO_INIT	nullable	com.badlogic.gdx.utils.IntMap	null
FIELD	com.badlogic.gdx.utils.IntMap	null	values2	null	/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/utils/IntMap.java	METHOD_NO_INIT	nullable	com.badlogic.gdx.utils.IntMap	null
FIELD	com.badlogic.gdx.utils.IntMap	null	keys1	null	/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/utils/IntMap.java	METHOD_NO_INIT	nullable	com.badlogic.gdx.utils.IntMap	null
