kind	class	method	param	index	uri	field
METHOD	com.badlogic.gdx.Net$HttpRequest	setUrl(java.lang.String)	null	null	/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/Net.java	url
METHOD	com.badlogic.gdx.Net$HttpRequest	setContent(java.lang.String)	null	null	/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/Net.java	content
METHOD	com.badlogic.gdx.Net$HttpRequest	setContent(java.io.InputStream,long)	null	null	/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/Net.java	contentStream
METHOD	com.badlogic.gdx.Net$HttpRequest	setMethod(java.lang.String)	null	null	/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/Net.java	httpMethod
METHOD	com.badlogic.gdx.utils.Array	insertRange(int,int)	null	null	/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/utils/Array.java	items
METHOD	com.badlogic.gdx.utils.Array	resize(int)	null	null	/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/utils/Array.java	items
METHOD	com.badlogic.gdx.utils.Predicate$PredicateIterator	set(java.util.Iterator<T>,com.badlogic.gdx.utils.Predicate<T>)	null	null	/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/utils/Predicate.java	iterator
METHOD	com.badlogic.gdx.utils.Predicate$PredicateIterator	set(java.util.Iterator<T>,com.badlogic.gdx.utils.Predicate<T>)	null	null	/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/utils/Predicate.java	predicate
METHOD	com.badlogic.gdx.utils.Predicate$PredicateIterable	set(java.lang.Iterable<T>,com.badlogic.gdx.utils.Predicate<T>)	null	null	/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/utils/Predicate.java	iterable
METHOD	com.badlogic.gdx.utils.Predicate$PredicateIterable	set(java.lang.Iterable<T>,com.badlogic.gdx.utils.Predicate<T>)	null	null	/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/utils/Predicate.java	predicate
METHOD	com.badlogic.gdx.graphics.Pixmap	setBlending(com.badlogic.gdx.graphics.Pixmap.Blending)	null	null	/tmp/projects/libgdx/gdx/src/com/badlogic/gdx/graphics/Pixmap.java	blending
