id	class	method	parent	size	flags	nullable	visibility	non-primitive-return	uri
1	com.badlogic.gdx.maps.ImageResolver	getImage(java.lang.String)	0	1	[false]	false	public	true	file:///Users/nima/Desktop/docker/benchmarks/libgdx/gdx/src/com/badlogic/gdx/maps/ImageResolver.java
2	com.badlogic.gdx.maps.ImageResolver$DirectImageResolver	DirectImageResolver(com.badlogic.gdx.utils.ObjectMap<java.lang.String,com.badlogic.gdx.graphics.Texture>)	0	1	[false]	false	public	false	file:///Users/nima/Desktop/docker/benchmarks/libgdx/gdx/src/com/badlogic/gdx/maps/ImageResolver.java
3	com.badlogic.gdx.maps.ImageResolver$DirectImageResolver	getImage(java.lang.String)	1	1	[false]	false	public	true	file:///Users/nima/Desktop/docker/benchmarks/libgdx/gdx/src/com/badlogic/gdx/maps/ImageResolver.java
4	com.badlogic.gdx.maps.ImageResolver$AssetManagerImageResolver	AssetManagerImageResolver(com.badlogic.gdx.assets.AssetManager)	0	1	[false]	false	public	false	file:///Users/nima/Desktop/docker/benchmarks/libgdx/gdx/src/com/badlogic/gdx/maps/ImageResolver.java
5	com.badlogic.gdx.maps.ImageResolver$AssetManagerImageResolver	getImage(java.lang.String)	1	1	[false]	false	public	true	file:///Users/nima/Desktop/docker/benchmarks/libgdx/gdx/src/com/badlogic/gdx/maps/ImageResolver.java
6	com.badlogic.gdx.maps.ImageResolver$TextureAtlasImageResolver	TextureAtlasImageResolver(com.badlogic.gdx.graphics.g2d.TextureAtlas)	0	1	[false]	false	public	false	file:///Users/nima/Desktop/docker/benchmarks/libgdx/gdx/src/com/badlogic/gdx/maps/ImageResolver.java
7	com.badlogic.gdx.maps.ImageResolver$TextureAtlasImageResolver	getImage(java.lang.String)	1	1	[false]	false	public	true	file:///Users/nima/Desktop/docker/benchmarks/libgdx/gdx/src/com/badlogic/gdx/maps/ImageResolver.java
8	com.badlogic.gdx.graphics.g2d.TextureRegion	TextureRegion()	0	0	[]	false	public	false	file:///Users/nima/Desktop/docker/benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/TextureRegion.java
<<<<<<< HEAD
9	com.badlogic.gdx.graphics.g2d.TextureRegion	TextureRegion(com.badlogic.gdx.graphics.Texture)	0	1	[true]	false	public	false	file:///Users/nima/Desktop/docker/benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/TextureRegion.java
=======
9	com.badlogic.gdx.graphics.g2d.TextureRegion	TextureRegion(com.badlogic.gdx.graphics.Texture)	0	1	[false]	false	public	false	file:///Users/nima/Desktop/docker/benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/TextureRegion.java
>>>>>>> base
10	com.badlogic.gdx.graphics.g2d.TextureRegion	TextureRegion(com.badlogic.gdx.graphics.Texture,int,int)	0	3	[false, false, false]	false	public	false	file:///Users/nima/Desktop/docker/benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/TextureRegion.java
11	com.badlogic.gdx.graphics.g2d.TextureRegion	TextureRegion(com.badlogic.gdx.graphics.Texture,int,int,int,int)	0	5	[false, false, false, false, false]	false	public	false	file:///Users/nima/Desktop/docker/benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/TextureRegion.java
12	com.badlogic.gdx.graphics.g2d.TextureRegion	TextureRegion(com.badlogic.gdx.graphics.Texture,float,float,float,float)	0	5	[false, false, false, false, false]	false	public	false	file:///Users/nima/Desktop/docker/benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/TextureRegion.java
13	com.badlogic.gdx.graphics.g2d.TextureRegion	TextureRegion(com.badlogic.gdx.graphics.g2d.TextureRegion)	0	1	[false]	false	public	false	file:///Users/nima/Desktop/docker/benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/TextureRegion.java
14	com.badlogic.gdx.graphics.g2d.TextureRegion	TextureRegion(com.badlogic.gdx.graphics.g2d.TextureRegion,int,int,int,int)	0	5	[false, false, false, false, false]	false	public	false	file:///Users/nima/Desktop/docker/benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/TextureRegion.java
15	com.badlogic.gdx.graphics.g2d.TextureRegion	setRegion(com.badlogic.gdx.graphics.Texture)	0	1	[false]	false	public	false	file:///Users/nima/Desktop/docker/benchmarks/libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/TextureRegion.java
